Country,Nitrogen Oxide,Carbon Monoxide
Liechtenstein,0.84,8.55
Lithuania,42581.17,131378.85
Luxembourg,15455.98,24441.56
Macao,4711.01,4679.13
Madagascar,54458.61,1126998.25
Malawi,25832.74,510124.27
Malaysia,896638.04,3839309.87
Maldives,17338.57,138979.75
Mali,26367.99,440745.18
Malta,4458.21,7371.63
Marshall Islands,481.05,1225.07
Martinique,18680.49,35875.37
Mauritania,33339.11,253418.56
Mauritius,31892.72,55212.67
Mexico,1779399.44,7254316.59
Moldova,32798.4,85145.51
Mongolia,163035.88,362243.94
Montenegro,7070.45,26976.67
Montserrat,456.73,746.77
Morocco,205937.84,488212.62
Mozambique,129332.01,2348196.23
Myanmar,573915.39,3272663.92
Namibia,20232.28,142405.66
Nepal,203138.81,2851207.29
Netherlands,197663.66,526103.29
New Caledonia,147254.74,87177.43
New Zealand,162808.3,644848.54
Nicaragua,64399.89,665872.56
Niger,40524.94,578135.11
Nigeria,682339.66,24946347.52
Niue,48.85,91.02
North Korea,153609.96,2410970.27
North Macedonia,23099.25,53275.64
Norway,150006.2,419892.6
Oceania,1499842.91,2986883.13
Oman,176449.39,253506.87
Pakistan,1473037.9,13707423.75
Palau,8693.66,6300.11
Panama,63705.87,519585.27
Papua New Guinea,54024.35,329180.48
Paraguay,86925.12,948105.93
Peru,313840.44,1593216.39
Philippines,669617.54,3266633.22
Poland,672063.23,2312612.54
Portugal,133849.98,249534.69
Puerto Rico,5179.41,15918.01
Qatar,198635.94,168551.48
Reunion,19750.64,34957.36
Romania,208505.57,742812.24
Russia,3650510.3,7415944.69
Rwanda,19295.63,534973.38
Saint Kitts and Nevis,2355.75,4603.07
Saint Lucia,3725.68,9672.89
Saint Pierre and Miquelon,478.05,578.32
Saint Vincent and the Grenadines,1700.82,3645.23
Samoa,1480.91,4851.74
Sao Tome and Principe,1830.8,14662.49
Saudi Arabia,2113143.04,1483704.82
Senegal,82526.9,615603.66
Serbia,124236.57,307124.51
Seychelles,7537.62,7643.96
Sierra Leone,18913.26,488723.06
Singapore,118191.58,95549.31
Slovakia,56601.67,341779.24
Slovenia,30333.31,99626.93
Solomon Islands,1397.71,5955.73
Somalia,28665.93,1177880.6
South Africa,1640120.45,6624304.62
South Korea,1008372.29,890880.28
South Sudan,29606.92,760807.97
Spain,641691.58,1240913.42
Sri Lanka,324498.93,2047772.02
Sudan,248389.12,2385817.66
Suriname,25892.03,35757.02
Sweden,103744.67,354059.66
Switzerland,54021.34,137198.38
Syria,98126.51,126533.22
Taiwan,302438.02,454766.84
Tajikistan,82365.49,745926.36
Tanzania,161055.28,4884414.44
Thailand,1206344.47,9762535.91
Timor,4086.72,20854.85
Togo,25618.99,805349.51
Tokelau,2.58,19.97
Tonga,1185.23,2317.68
Trinidad and Tobago,37572.7,139812.24
Tunisia,95301.83,382830.69
Turkey,867050.28,1572748.11
Turkmenistan,481609.32,571037.82
Uganda,112898.4,4193660.48
Ukraine,467592.39,1464552.31
United Arab Emirates,539097.11,917063.12
United Kingdom,738638.52,1434706.76
Uruguay,69866.6,507803.04
Uzbekistan,289915.05,543060.1
Vanuatu,1196.59,5817.76
Venezuela,401423.21,3230147.89
Vietnam,1177238.84,11708923.29
Wallis and Futuna,139.26,369.04
Yemen,55096,156179.59
Zambia,56674.37,1899273.01
Zimbabwe,70779.92,1647792.46
